Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR19524270,2023-05-09 03:54:16,2022-06-02 15:07:40,23904808,7219252016,23904808,302,3261,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19524/SRR19524270/SRR19524270.lite.1,SRX15576526,10,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP378223,PRJNA844951,,844951,SRS13279236,SAMN28842981,simple,256318,metagenome,10_2175_P2,,,,,,,no,,,,,NMBU,SRA1430985,,public,F4085C6247E101CD9D92202EE9ECB7B1,70863A60D160C587B0567209B34D1EF4
SRR19524269,2023-05-09 03:54:16,2022-06-02 15:05:35,20830380,6290774760,20830380,302,2763,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19524/SRR19524269/SRR19524269.lite.1,SRX15576527,11,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP378223,PRJNA844951,,844951,SRS13279239,SAMN28842982,simple,256318,metagenome,11_2175_P3,,,,,,,no,,,,,NMBU,SRA1430985,,public,D41E22C639596F8A91D8DCBBBD06F6B4,8B06E96ED32701EC46103719843D1BF9
SRR19524258,2023-05-09 03:54:16,2022-06-02 15:10:12,24957022,7537020644,24957022,302,3195,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19524/SRR19524258/SRR19524258.lite.1,SRX15576538,12,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP378223,PRJNA844951,,844951,SRS13279248,SAMN28842983,simple,256318,metagenome,12_2175_P4,,,,,,,no,,,,,NMBU,SRA1430985,,public,F342AA2BFCF92C9EA173073C39952DF3,EA35284D3CF1BE76CA43C5EC29A74E00
SRR19524247,2023-05-09 03:54:16,2022-06-02 15:03:41,24831966,7499253732,24831966,302,3265,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19524/SRR19524247/SRR19524247.lite.1,SRX15576549,13,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP378223,PRJNA844951,,844951,SRS13279258,SAMN28842984,simple,256318,metagenome,13_2179_P1,,,,,,,no,,,,,NMBU,SRA1430985,,public,B5DCBA0D1C8B99971BCBACF862A75E7D,770CF03C7EEDF9A9357F8E0D9FE7478B
SRR19524244,2023-05-09 03:54:16,2022-06-02 15:09:29,23953817,7234052734,23953817,302,3115,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19524/SRR19524244/SRR19524244.lite.1,SRX15576552,14,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP378223,PRJNA844951,,844951,SRS13279262,SAMN28842985,simple,256318,metagenome,14_2179_P2,,,,,,,no,,,,,NMBU,SRA1430985,,public,34E5178FEC687E59CB9993CA53CBE3F8,5CEB920B17206B0AFBD33FB4A457E8A1
SRR19524243,2023-05-09 03:54:16,2022-06-02 15:06:20,22295177,6733143454,22295177,302,2880,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19524/SRR19524243/SRR19524243.lite.1,SRX15576553,15,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP378223,PRJNA844951,,844951,SRS13279263,SAMN28842986,simple,256318,metagenome,15_2179_P3,,,,,,,no,,,,,NMBU,SRA1430985,,public,52F3029B9F276C9954607251FF945019,6BB9DC705CF5826D0E8C21C2EBF43087
SRR19524242,2023-05-09 03:54:16,2022-06-02 15:06:57,22200410,6704523820,22200410,302,2923,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR019/19524/SRR19524242/SRR19524242.lite.1,SRX15576554,16,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP378223,PRJNA844951,,844951,SRS13279264,SAMN28842987,simple,256318,metagenome,16_2179_P4,,,,,,,no,,,,,NMBU,SRA1430985,,public,A2709A502AFF116F610FABB8AC488B8A,6A8C0C5CAB0B5EE6E1FDF06953D7D3EB
SRR19524241,2023-05-09 03:54:16,2022-06-02 15:03:26,20322966,6137535732,20322966,302,2620,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19524/SRR19524241/SRR19524241.lite.1,SRX15576555,17,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP378223,PRJNA844951,,844951,SRS13279265,SAMN28842988,simple,256318,metagenome,17_13035_P1,,,,,,,no,,,,,NMBU,SRA1430985,,public,131E6A5F87500A6C52BF4F0E174ED28E,6D436B891302305191A92D5F3E1EA071
SRR19524240,2023-05-09 03:54:16,2022-06-02 15:05:10,21399405,6462620310,21399405,302,2764,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19524/SRR19524240/SRR19524240.lite.1,SRX15576556,18,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP378223,PRJNA844951,,844951,SRS13279266,SAMN28842989,simple,256318,metagenome,18_13035_P2,,,,,,,no,,,,,NMBU,SRA1430985,,public,A5434A0BD9064D1165706DCB37E98F88,3A3C1AEA98C18322555375AA5DFCA206
SRR19524239,2023-05-09 03:54:16,2022-06-02 15:01:46,17531286,5294448372,17531286,302,2359,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR019/19524/SRR19524239/SRR19524239.lite.1,SRX15576557,19,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP378223,PRJNA844951,,844951,SRS13279267,SAMN28842990,simple,256318,metagenome,19_13035_P3,,,,,,,no,,,,,NMBU,SRA1430985,,public,3B57CB7F59B773CD8716F104B0A3A622,64EFEB3A8C2C056C086172BF2F9EC0F7
